Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
412_S144_L003_R1_001,412_S144_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53699662,0,151,37,65.34804268,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
412_S144_L003_R2_001,412_S144_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53699662,0,151,37,67.63575168,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
416_S186_L003_R1_001,416_S186_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52695256,0,151,36,65.14114437,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
416_S186_L003_R2_001,416_S186_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52695256,0,151,36,67.19453922,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,warn
418_S9_L001_R1_001,418_S9_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33243064,0,151,37,72.81461081,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
418_S9_L001_R2_001,418_S9_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33243064,0,151,37,73.18396364,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
419_S156_L003_R1_001,419_S156_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46802404,0,151,37,71.74681005,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
419_S156_L003_R2_001,419_S156_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46802404,0,151,37,73.70657771,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
423_S163_L003_R1_001,423_S163_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37358341,0,151,36,70.05046614,151,pass,pass,warn,pass,fail,pass,pass,pass,pass,pass,fail
423_S163_L003_R2_001,423_S163_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37358341,0,151,36,71.06941991,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
426_S105_L002_R1_001,426_S105_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36485667,0,151,37,64.40041222,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
426_S105_L002_R2_001,426_S105_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36485667,0,151,37,66.10285261,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
