Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
316_S141_L003_1P,316_S141_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35906303,0,30-142,36,69.4663879,140.9820879,pass,pass,warn,pass,warn,pass,pass,warn,warn,pass,pass
316_S141_L003_2P,316_S141_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35906303,0,30-142,36,71.29096591,140.9927817,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
317_S117_L002_1P,317_S117_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34649776,0,30-142,35,70.30536822,140.975199,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
317_S117_L002_2P,317_S117_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34649776,0,30-142,35,71.42765627,140.9905185,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
333_S203_L004_1P,333_S203_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40169809,0,30-142,36,68.99929149,140.9851479,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
333_S203_L004_2P,333_S203_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40169809,0,30-142,36,70.17234341,140.9930694,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
334_S35_L001_1P,334_S35_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,31294302,0,30-142,36,70.61882391,140.9846445,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
334_S35_L001_2P,334_S35_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,31294302,0,30-142,36,72.17151396,140.9923308,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
342_S237_L004_1P,342_S237_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36626374,0,30-142,35,72.20788945,140.9890098,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
342_S237_L004_2P,342_S237_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36626374,0,30-142,36,73.60682593,140.994664,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
343_S231_L004_1P,343_S231_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35807651,0,30-142,35,73.28550581,140.9903757,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
343_S231_L004_2P,343_S231_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35807651,0,30-142,35,72.53491563,140.9923436,pass,pass,pass,pass,warn,warn,pass,warn,pass,pass,pass
353_S72_L002_1P,353_S72_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39286616,0,30-142,36,69.2292781,140.985884,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
353_S72_L002_2P,353_S72_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39286616,0,30-142,36,66.87056419,140.991266,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
360_S13_L001_1P,360_S13_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30323991,0,30-142,35,70.658246,140.984987,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
360_S13_L001_2P,360_S13_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30323991,0,30-142,36,72.37302098,140.9920527,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
364_S243_L004_1P,364_S243_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48305487,0,30-142,36,67.46110144,140.9750482,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
364_S243_L004_2P,364_S243_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48305487,0,30-142,36,72.66706465,140.9900845,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
